Event name,Event type,Event region,Student token,Student state,Attendance State,Attended,Current situation,Institution,Qualification,Year of study,Final year?,Region interests,Created at
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,f8706083024db8b9226904eb02ce76f0,preparing,registered,TRUE,studying,Auckland University,BSc in Computer Science,3,TRUE,"Wellington, Auckland, Christchurch",2017-03-19 18:16:50 +1300
CV (part 1),Career Bootcamp,Auckland,f8706083024db8b9226904eb02ce76f0,preparing,registered,FALSE,studying,Auckland University,BSc in Computer Science,3,TRUE,"Wellington, Auckland, Christchurch",2017-03-19 18:18:08 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,14b29e3127d53f5454f2cf220f02eee5,available,registered,FALSE,studying,Victoria University of Wellington,Bachelor of Commerce,3,TRUE,"Auckland, Christchurch, Hamilton, Tauranga, Wellington",2017-03-19 18:25:17 +1300
Accelerated Learning,Career Bootcamp,Wellington,a005cb52667e21de745c46aaa46ba144,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Engineering,1,FALSE,Wellington,2017-03-19 19:17:34 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,a005cb52667e21de745c46aaa46ba144,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Engineering,1,FALSE,Wellington,2017-03-19 19:18:55 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,4198cf013670fa9f2ec37d3c93975495,preparing,registered,TRUE,studying,Auckland University,BSc in Computer Science,3,TRUE,,2017-03-19 20:29:00 +1300
Accelerated Learning,Career Bootcamp,Wellington,67f848fdafe9d93f2914b1708b1ecce7,preparing,registered,TRUE,studying,Victoria University of Wellington,Conjoint degree in Computer Science + International Business,1,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-19 23:04:19 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,666f3fedda3365e2bff9ccf9f33f6a94,available,registered,FALSE,studying,Auckland University,BE(Hons) in Software Engineering,2,FALSE,Auckland,2017-03-19 23:06:24 +1300
CV (part 1),Career Bootcamp,Wellington,66f8542e9f99d059bfbf5d503ecd10f3,available,registered,TRUE,studying,Whitireia New Zealand,Bachelor in Information Technology,3,TRUE,Wellington,2017-03-20 00:15:39 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,91a52c4c00958f58c2b7d68c87c28bf7,available,registered,FALSE,graduated,Auckland University,BSc in Computer Science,5,TRUE,Auckland,2017-03-20 09:14:22 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,9df85ebf14328deb4f50047b499c3eb5,preparing,registered,FALSE,studying,Auckland University,BSc in Computer Science,3,FALSE,Auckland,2017-03-20 09:50:15 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,bf7073177d735a82fbb72aad0ba22bd0,available,registered,TRUE,studying,Auckland University,Bachelor of Science (Honours),1,TRUE,"Auckland, Hamilton",2017-03-20 10:32:41 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,39a1149b977e2a018a9d560dc37470bb,available,registered,FALSE,studying,Auckland University,Bsc in Computer Science and information systems,2,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, New Plymouth, PalmerstonNorth, Tauranga, Wellington",2017-03-20 11:15:57 +1300
Accelerated Learning,Career Bootcamp,Wellington,1fcc645fd29839fc4755cc114b03f4d8,preparing,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,1,FALSE,,2017-03-20 11:47:10 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,44a0f1cc390f4c0607cc3bc8290e90e4,preparing,registered,FALSE,studying,Auckland University of Technology,BEtec,3,TRUE,Auckland,2017-03-20 12:00:18 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,5f451f7426ca08be6b79c6bd33edb6ff,available,registered,TRUE,studying,Auckland University,BE (Software Engineering),3,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-20 12:03:55 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,c74d46a9f3e62e369553a3fc4feb1e68,available,registered,FALSE,graduated,Victoria University of Wellington,Bcom in Human Resource Management,3,TRUE,"Auckland, Christchurch, Dunedin, PalmerstonNorth, Wellington",2017-03-20 15:20:34 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,f84c4c4a64715658a20659f83fe23f80,available,registered,TRUE,studying,Victoria University of Wellington," Bachelor Commerce in Human Resource and International Relations, Bachelor of Arts in Psychology                        ",2,FALSE,Wellington,2017-03-20 15:30:09 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,dcf9a4664a805d9c407816c59ab2e7c3,available,late_withdrawal,FALSE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours – BE(Hons),3,FALSE,Wellington,2017-03-20 15:41:38 +1300
CV (Part 2),Career Bootcamp,Wellington,7a66988d09550b51e10c9c7d1bf7eb12,preparing,registered,FALSE,studying,Victoria University of Wellington,Bachelor of Commerce (Information Systems Major),2,FALSE,"Wellington, Auckland, Christchurch, PalmerstonNorth, Dunedin",2017-03-20 15:43:13 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,7a66988d09550b51e10c9c7d1bf7eb12,preparing,late_withdrawal,FALSE,studying,Victoria University of Wellington,Bachelor of Commerce (Information Systems Major),2,FALSE,"Wellington, Auckland, Christchurch, PalmerstonNorth, Dunedin",2017-03-20 15:45:03 +1300
SoT2017 Auckland Kickoff,Career Bootcamp,Auckland,05299d5e99079ca408a1f88d170aa536,available,registered,FALSE,studying,Auckland University of Technology,BSc in Computer Science,3,TRUE,Auckland,2017-03-20 17:00:23 +1300
CV (part 1),Career Bootcamp,Auckland,05299d5e99079ca408a1f88d170aa536,available,registered,TRUE,studying,Auckland University of Technology,BSc in Computer Science,3,TRUE,Auckland,2017-03-20 17:04:58 +1300
Accelerated Learning,Career Bootcamp,Wellington,9eb451170807ce64b7205224de64f55f,available,registered,TRUE,studying,Victoria University of Wellington,BEHons in Software Engineering,3,FALSE,Wellington,2017-03-20 17:18:48 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,9eb451170807ce64b7205224de64f55f,available,registered,FALSE,studying,Victoria University of Wellington,BEHons in Software Engineering,3,FALSE,Wellington,2017-03-20 17:19:29 +1300
Accelerated Learning,Career Bootcamp,Wellington,5d2cfdcf4949c1f1fbe78f0f98b91091,available,registered,TRUE,studying,Victoria University of Wellington,BDI Majoring in Media Design,3,TRUE,Wellington,2017-03-20 17:41:36 +1300
CV (part 1),Career Bootcamp,Auckland,a3a208aa5046589f838100ef5a9ab481,available,registered,TRUE,studying,Auckland University,Bachelor of Science (Bsc) in Computer Science and Information system,3,FALSE,"Auckland, Wellington",2017-03-20 18:41:30 +1300
CV (part 1),Career Bootcamp,Auckland,da55ecaff6e51021ff665d6adb8d4a3c,hidden,registered,TRUE,studying,Auckland University,BSc in Computer Science and Information Systems,3,TRUE,"Auckland, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-20 18:43:57 +1300
CV (part 1),Career Bootcamp,Wellington,b0d6311aedfe6a7a591760c184e8cc66,preparing,registered,TRUE,studying,Victoria University of Wellington,BE(Hons),1,FALSE,,2017-03-20 18:47:36 +1300
CV (Part 2),Career Bootcamp,Wellington,b0d6311aedfe6a7a591760c184e8cc66,preparing,registered,FALSE,studying,Victoria University of Wellington,BE(Hons),1,FALSE,,2017-03-20 18:47:47 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,b0d6311aedfe6a7a591760c184e8cc66,preparing,registered,FALSE,studying,Victoria University of Wellington,BE(Hons),1,FALSE,,2017-03-20 18:47:54 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,255fd380dce5dd2143a5efb99115d412,available,registered,FALSE,studying,Victoria University of Wellington,BDI Media design Minor In Marketing ,4,TRUE,"Auckland, Christchurch, Wellington",2017-03-20 18:51:05 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,35250b9b4c166b282855ec4f897771d8,available,registered,FALSE,studying,Victoria University of Wellington,BCom in Marketing and International Business,2,FALSE,Wellington,2017-03-20 18:53:00 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,54e2e4e6d237e8d6801e658b9d854a5f,hidden,registered,FALSE,studying,Victoria University of Wellington,"Marketing & Film major in BCom/BA conjoint, with a minor in Art History",4,TRUE,,2017-03-20 19:06:26 +1300
Accelerated Learning,Career Bootcamp,Wellington,a856497f776c4cd7254258528138753a,preparing,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,1,FALSE,,2017-03-20 20:08:12 +1300
SoT2017 Christchurch Kickoff!,Career Bootcamp,Christchurch,be65c713c1233b07776ca6c9c85f1b4e,preparing,registered,FALSE,studying,University of Canterbury,ME in Software Engineering,5,FALSE,"Wellington, Christchurch",2017-03-20 21:17:44 +1300
CV (part 1),Career Bootcamp,Wellington,6d3e10d593d0f428f0d5dfb4faa05bb8,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHons Software Engineering,3,FALSE,Wellington,2017-03-20 21:59:32 +1300
CV (Part 2),Career Bootcamp,Wellington,6d3e10d593d0f428f0d5dfb4faa05bb8,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHons Software Engineering,3,FALSE,Wellington,2017-03-20 22:00:40 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,2883b904dc7cd3af5a145437aad29617,hidden,registered,FALSE,studying,Victoria University of Wellington,BCom majoring in Commercial Law and Marketing,3,FALSE,"Auckland, Christchurch, Wellington",2017-03-20 22:11:16 +1300
Accelerated Learning,Career Bootcamp,Wellington,531b01e374c50ee5f5ea6f0582ca1290,hidden,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science and Computer Graphics,2,FALSE,Wellington,2017-03-20 23:48:45 +1300
CV (part 1),Career Bootcamp,Auckland,f3ce19c410e12109397a34d6d66be6be,preparing,registered,TRUE,graduated,Yoobee School of Design,Diploma of Web Development,1,TRUE,Auckland,2017-03-21 09:04:53 +1300
CV (Part 2),Career Bootcamp,Auckland,f3ce19c410e12109397a34d6d66be6be,preparing,registered,FALSE,graduated,Yoobee School of Design,Diploma of Web Development,1,TRUE,Auckland,2017-03-21 09:05:07 +1300
CV (part 1),Career Bootcamp,Auckland,cef714fb85842fa5bbfe7f0cedc4862f,available,registered,FALSE,studying,Auckland University,Master Specialized in Electronics and Electrical,1,TRUE,"Wellington, Auckland, Hamilton, Tauranga, Christchurch, PalmerstonNorth, Dunedin",2017-03-21 09:18:39 +1300
Accelerated Learning,Career Bootcamp,Wellington,c36070dccb2092e3e5b9261da645e057,preparing,registered,TRUE,studying,Victoria University of Wellington,BE in Software Engineering,1,FALSE,Wellington,2017-03-21 09:19:56 +1300
Accelerated Learning,Career Bootcamp,Wellington,78980c9f182ae589c150052771879b59,available,registered,TRUE,studying,Victoria University of Wellington,BE in Software Engineering,2,FALSE,Wellington,2017-03-21 10:39:36 +1300
CV (part 1),Career Bootcamp,Auckland,1be256d34772148f8abcd5dbbabc598d,available,registered,TRUE,studying,Auckland University,Bachelor of Science in Computer Science,3,TRUE,Auckland,2017-03-21 11:24:57 +1300
CV (Part 2),Career Bootcamp,Auckland,1be256d34772148f8abcd5dbbabc598d,available,registered,FALSE,studying,Auckland University,Bachelor of Science in Computer Science,3,TRUE,Auckland,2017-03-21 11:30:07 +1300
Accelerated Learning,Career Bootcamp,Wellington,609544ed0074872b721ecef1d0b7b3e7,hidden,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-21 11:49:05 +1300
Accelerated Learning,Career Bootcamp,Wellington,74c26cd10821aa5b6deb9cbc84e2c990,preparing,registered,TRUE,studying,Victoria University of Wellington,BE software engineer,2,FALSE,Wellington,2017-03-21 12:03:16 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,d33fab94ac550bfdac6d9a7c3fd7193e,preparing,registered,FALSE,studying,Victoria University of Wellington,BCOM in Marketing Human Resource Management ,2,FALSE,"New Plymouth, Wellington",2017-03-21 12:40:19 +1300
Accelerated Learning,Career Bootcamp,Wellington,cb1faa91d703692d0161422cd7159882,available,registered,TRUE,graduated,Victoria University of Wellington,Master in Design Innovation,5,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, Kaitaia, Masterton, New Plymouth, PalmerstonNorth, Tauranga, Wanaka, Wellington",2017-03-21 12:55:23 +1300
Summer of Biz Launch!,Career Bootcamp,Wellington,f9e2611ece65d544ad1423b2661613c9,preparing,registered,FALSE,studying,Victoria University of Wellington,BCom in Marketing and Psychology,3,TRUE,Wellington,2017-03-21 13:28:23 +1300
CV (part 1),Career Bootcamp,Auckland,7fd483ea275e733ecea9ad6e1dbb224d,available,registered,TRUE,studying,Auckland University,Bsc in Computer Science and Information Systems,4,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-21 14:23:18 +1300
Accelerated Learning,Career Bootcamp,Wellington,a2f47c35a955ee7b9edba6378076b6d4,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,2,FALSE,Wellington,2017-03-21 14:42:12 +1300
CV (part 1),Career Bootcamp,Auckland,73cb0428c3669758bb3907e9c06b635f,available,registered,FALSE,studying,Auckland University,BSc in Computer Science and Information Systems,4,FALSE,"Auckland, Christchurch, Dunedin, Masterton, Wellington",2017-03-21 14:56:45 +1300
"VUW ""Office Hours""",Office Hours,Wellington,98c39b88b6bb3a85a536e5e8b5afad8d,hidden,registered,FALSE,studying,Victoria University of Wellington,(BE Hons) Electronics and computer systems,3,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-21 15:04:15 +1300
Accelerated Learning,Career Bootcamp,Wellington,6289fefa09a5eff16d1a8dac0c389c58,hidden,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science and Computer Graphics,2,FALSE,Wellington,2017-03-21 15:05:46 +1300
CV (part 1),Career Bootcamp,Wellington,6289fefa09a5eff16d1a8dac0c389c58,hidden,registered,FALSE,studying,Victoria University of Wellington,BSc in Computer Science and Computer Graphics,2,FALSE,Wellington,2017-03-21 15:10:05 +1300
CV (Part 2),Career Bootcamp,Wellington,6289fefa09a5eff16d1a8dac0c389c58,hidden,registered,FALSE,studying,Victoria University of Wellington,BSc in Computer Science and Computer Graphics,2,FALSE,Wellington,2017-03-21 15:10:07 +1300
SoT2017 Christchurch Kickoff!,Career Bootcamp,Christchurch,09c7671e14741f99835aa0b6ffc085f2,available,registered,FALSE,studying,University of Canterbury,BE(Hons) Software Engineering,3,FALSE,"Auckland, Christchurch, Wellington",2017-03-21 15:12:43 +1300
Accelerated Learning,Career Bootcamp,Wellington,d87e4fe52b5fea92cbb54eb758000052,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,2,FALSE,Wellington,2017-03-21 15:14:44 +1300
SoT2017 Dunedin Kickoff,Career Bootcamp,Dunedin,89a9d04572e25c8f8854c1b5403e3a54,available,registered,FALSE,studying,University of Otago,BSc(Hons) in Computer Science,5,TRUE,"Wellington, Auckland, Christchurch, Dunedin",2017-03-21 15:20:43 +1300
Accelerated Learning,Career Bootcamp,Wellington,064dd657739977d3cdd6e64320fe4dfb,preparing,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,3,FALSE,,2017-03-21 15:22:14 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,84dede8584a5accc52c92b8478769db2,hidden,registered,TRUE,studying,Victoria University of Wellington,BCom in Marketing and Management,3,FALSE,Wellington,2017-03-21 15:54:43 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,687204161870a91ce75029e9442657bd,preparing,registered,FALSE,studying,Victoria University of Wellington,"BSc in Physics, Computer Science",1,FALSE,Wellington,2017-03-21 16:50:32 +1300
Accelerated Learning,Career Bootcamp,Wellington,6aa208b50ed37f904273d412d004f31e,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Design Innovation,3,FALSE,Wellington,2017-03-21 17:51:04 +1300
Accelerated Learning,Career Bootcamp,Wellington,b17964039c5bb2e8af24c147418b999a,available,registered,TRUE,studying,Victoria University of Wellington,Electronic and Computer System Engineering,3,FALSE,"Auckland, PalmerstonNorth, Wellington",2017-03-21 17:51:34 +1300
Accelerated Learning,Career Bootcamp,Wellington,9955e0b0915e14cffa2a76f841d3a473,preparing,late_withdrawal,FALSE,studying,Victoria University of Wellington,Bsc CS/Maths,2,FALSE,,2017-03-21 17:52:58 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,255fd380dce5dd2143a5efb99115d412,available,registered,FALSE,studying,Victoria University of Wellington,BDI Media design Minor In Marketing ,4,TRUE,"Auckland, Christchurch, Wellington",2017-03-21 20:10:43 +1300
CV (part 1),Career Bootcamp,Wellington,dc8856fffa8740cd5803661a0678d20f,preparing,registered,TRUE,studying,Victoria University of Wellington,Bsc in Computer Science and Computer Graphics,1,FALSE,Wellington,2017-03-21 20:16:06 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,d267ebbf6f64a94690d436e7eb560dda,preparing,registered,FALSE,studying,Victoria University of Wellington,"Major in Design, Minor in Marketing ",3,TRUE,Wellington,2017-03-21 21:03:59 +1300
CV (part 1),Career Bootcamp,Wellington,6aa208b50ed37f904273d412d004f31e,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Design Innovation,3,FALSE,Wellington,2017-03-21 21:09:09 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,2c3c080b8a4d12ee92ef4502c17f2aca,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) Electronics & Computer Sys Engineering,1,FALSE,Wellington,2017-03-22 00:05:21 +1300
CV (part 1),Career Bootcamp,Wellington,80b5f8c299fe232de5f30617a7db5498,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,1,FALSE,Wellington,2017-03-22 01:50:31 +1300
CV (Part 2),Career Bootcamp,Wellington,80b5f8c299fe232de5f30617a7db5498,available,registered,FALSE,studying,Victoria University of Wellington,BSc in Computer Science,1,FALSE,Wellington,2017-03-22 01:51:12 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,80b5f8c299fe232de5f30617a7db5498,available,late_withdrawal,FALSE,studying,Victoria University of Wellington,BSc in Computer Science,1,FALSE,Wellington,2017-03-22 01:51:42 +1300
CV (part 1),Career Bootcamp,Wellington,555dd2b497541a338d3356af9ecc859a,available,registered,TRUE,studying,Victoria University of Wellington,"Bachelor of Engineering with Honours, majoring in Electronic and Computer Systems Engineering",1,FALSE,Wellington,2017-03-22 08:04:09 +1300
CV (Part 2),Career Bootcamp,Wellington,555dd2b497541a338d3356af9ecc859a,available,registered,FALSE,studying,Victoria University of Wellington,"Bachelor of Engineering with Honours, majoring in Electronic and Computer Systems Engineering",1,FALSE,Wellington,2017-03-22 08:05:04 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,555dd2b497541a338d3356af9ecc859a,available,registered,TRUE,studying,Victoria University of Wellington,"Bachelor of Engineering with Honours, majoring in Electronic and Computer Systems Engineering",1,FALSE,Wellington,2017-03-22 08:05:48 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,60059d5a5fe7a978d5f025ba5bc497c5,preparing,registered,FALSE,studying,Computer Power Plus,Diploma in Software Development Level 5,2,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-22 09:46:59 +1300
Accelerated Learning,Career Bootcamp,Wellington,5a3662378c928671aef81f6243faef52,preparing,registered,TRUE,studying,Victoria University of Wellington,BDI - Design Innovation/Media Design,3,TRUE,"Wellington, Auckland",2017-03-22 09:57:24 +1300
Accelerated Learning,Career Bootcamp,Wellington,14af804a3a447deadd1da760e144333d,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) in Software Engineering,1,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, New Plymouth, PalmerstonNorth, Wellington",2017-03-22 09:57:39 +1300
Accelerated Learning,Career Bootcamp,Wellington,9475c7c22b2e9e8a90a1efdd2f25b192,preparing,registered,TRUE,studying,Victoria University of Wellington,BEng (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-22 09:58:03 +1300
Accelerated Learning,Career Bootcamp,Wellington,83a2a9f1ce6a0b235c5c05fd5eb91f68,preparing,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,1,FALSE,,2017-03-22 09:58:37 +1300
Accelerated Learning,Career Bootcamp,Wellington,0f4ba194bae975a72815a77a839cf022,preparing,registered,TRUE,studying,Victoria University of Wellington,BE(HON) Software Engineering,1,FALSE,Wellington,2017-03-22 09:59:00 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,3b631f5844d90806389b2239b7e98b44,available,registered,TRUE,graduated,Victoria University of Wellington,Bachelor of commerce(Information System),3,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, Kaitaia, Masterton, New Plymouth, PalmerstonNorth, Tauranga, Wanaka, Wellington",2017-03-22 10:27:41 +1300
SoT2017 Whitireia Porirua Kickoff,Career Bootcamp,Wellington,7f96f9b68f7ffb89d8c67827cb91e6a4,preparing,registered,FALSE,studying,Whitireia New Zealand,Bachelor of Information Technology,1,FALSE,Wellington,2017-03-22 10:55:54 +1300
CV (part 1),Career Bootcamp,Wellington,f84c4c4a64715658a20659f83fe23f80,available,registered,FALSE,studying,Victoria University of Wellington," Bachelor Commerce in Human Resource and International Relations, Bachelor of Arts in Psychology                        ",2,FALSE,Wellington,2017-03-22 11:35:00 +1300
CV (Part 2),Career Bootcamp,Wellington,f84c4c4a64715658a20659f83fe23f80,available,registered,FALSE,studying,Victoria University of Wellington," Bachelor Commerce in Human Resource and International Relations, Bachelor of Arts in Psychology                        ",2,FALSE,Wellington,2017-03-22 11:35:12 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,4c2a3851bef990ffa7beea0f0639975f,available,registered,TRUE,studying,Victoria University of Wellington,BCOM in Marketing and International Business,3,TRUE,Wellington,2017-03-22 11:39:27 +1300
CV (part 1),Career Bootcamp,Wellington,ed716b22f2fc261b49e3cf98fdb4c65e,available,registered,TRUE,studying,Victoria University of Wellington,BEHon in Electronics and Computer Systems,3,FALSE,"Masterton, PalmerstonNorth, Wellington",2017-03-22 12:08:15 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,2c11d1e17eac4d0d2df0d9e74b6fdf08,available,registered,FALSE,studying,Wellington ICT Graduate School (WICTGS),Masters in Software Development,1,TRUE,PalmerstonNorth,2017-03-22 13:20:03 +1300
CV (part 1),Career Bootcamp,Auckland,26676ef2af43d847112d8af7aa410710,available,registered,FALSE,studying,Auckland University,BSc(Hons) in Computer Science,4,TRUE,"Auckland, Wellington",2017-03-22 14:49:39 +1300
CV (Part 2),Career Bootcamp,Auckland,26676ef2af43d847112d8af7aa410710,available,registered,FALSE,studying,Auckland University,BSc(Hons) in Computer Science,4,TRUE,"Auckland, Wellington",2017-03-22 14:50:10 +1300
SoT2017 Whitireia Porirua Kickoff,Career Bootcamp,Wellington,2287f35380e100482c8d09139f52fc5e,hidden,registered,FALSE,studying,Whitireia New Zealand,Bachelor of Information Technology ,3,TRUE,,2017-03-22 16:15:27 +1300
CV (part 1),Career Bootcamp,Auckland,da7be61ace0418ec96b0a8a8502314b8,available,registered,FALSE,studying,Auckland University,BSc in Computer Science and BComm in Infosys/Bus,2,FALSE,"Auckland, Wellington",2017-03-22 16:53:49 +1300
CV (Part 2),Career Bootcamp,Auckland,da7be61ace0418ec96b0a8a8502314b8,available,registered,FALSE,studying,Auckland University,BSc in Computer Science and BComm in Infosys/Bus,2,FALSE,"Auckland, Wellington",2017-03-22 16:54:33 +1300
CV (part 1),Career Bootcamp,Auckland,a090f36d8ddcc14df6cb5c8d5c2b6ff5,available,registered,TRUE,studying,Auckland University,BE (Hons) in Mechatronics Engineering,5,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Wellington",2017-03-22 18:07:41 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,d25889d7ea9de873be7789d7d90e1163,hidden,registered,TRUE,studying,Victoria University of Wellington,Graduate Diploma of Commerce,4,TRUE,Wellington,2017-03-22 19:26:51 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,fb3303615598b49e4c670e37ef46b6b8,available,registered,TRUE,studying,Victoria University of Wellington,"Bcom (MARK, MGMT) BA (PHIL, PSYC)",2,FALSE,"Hamilton, Wellington",2017-03-22 20:39:02 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,54e319838565006de93c4d32548ea99a,hidden,registered,TRUE,graduated,Massey University (Wellington),Bachelor of Communication - Major marketing comm,1,TRUE,,2017-03-22 20:40:57 +1300
SoT2017 Whitireia Porirua Kickoff,Career Bootcamp,Wellington,c60ab5e5deb6e602878b432fcf6c210d,available,registered,FALSE,studying,Whitireia New Zealand,Bachelor in Information Technology,3,FALSE,Wellington,2017-03-22 20:47:39 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,c60ab5e5deb6e602878b432fcf6c210d,available,registered,TRUE,studying,Whitireia New Zealand,Bachelor in Information Technology,3,FALSE,Wellington,2017-03-22 20:48:59 +1300
CV (part 1),Career Bootcamp,Auckland,ffddba7ad1c33cd31b88ff338cd55891,preparing,registered,TRUE,studying,Auckland University,GradDip in Computer Science,5,TRUE,,2017-03-22 21:07:29 +1300
CV (part 1),Career Bootcamp,Auckland,b116b5950a86bd0f5a9029f027214229,preparing,registered,FALSE,studying,Yoobee School of Design,Diploma of Website Development,1,TRUE,Auckland,2017-03-23 09:04:41 +1300
CV (part 1),Career Bootcamp,Wellington,8eb5c6b343c86929521925d8a20cd09f,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,2,FALSE,"Auckland, Wellington",2017-03-23 10:19:45 +1300
Intro to Code Bootcamps,Code Bootcamp,Wellington,74c26cd10821aa5b6deb9cbc84e2c990,preparing,registered,TRUE,studying,Victoria University of Wellington,BE software engineer,2,FALSE,Wellington,2017-03-23 11:40:24 +1300
CV (part 1),Career Bootcamp,Wellington,b17964039c5bb2e8af24c147418b999a,available,registered,TRUE,studying,Victoria University of Wellington,Electronic and Computer System Engineering,3,FALSE,"Auckland, PalmerstonNorth, Wellington",2017-03-23 11:47:10 +1300
Google Analytics & Marketing Metrics,Marketing Bootcamp,Wellington,4b6b094436a53f9425e301dcf315012e,available,late_withdrawal,FALSE,studying,Victoria University of Wellington,BDI in Design Innovation,3,FALSE,"PalmerstonNorth, Wellington",2017-03-23 14:32:38 +1300
CV (part 1),Career Bootcamp,Auckland,f4a4ac185fdf89e5f9dfb2f17de14827,available,registered,FALSE,studying,Yoobee School of Design,Diploma Web & UX Design,1,TRUE,"Auckland, Wellington",2017-03-23 15:04:19 +1300
CV (part 1),Career Bootcamp,Auckland,0e5e03e26af655a7a9d306d19e5d2417,preparing,late_withdrawal,FALSE,studying,Auckland University,BSc in Computer Science and Mathematics,3,TRUE,Auckland,2017-03-23 15:46:49 +1300
CV (part 1),Career Bootcamp,Wellington,11b3c229b8465955d4f15b758ac5708d,available,late_withdrawal,FALSE,graduated,Whitireia New Zealand,Graduate Diploma in IT,1,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, Kaitaia, Masterton, New Plymouth, PalmerstonNorth, Tauranga, Wanaka, Wellington",2017-03-23 16:08:29 +1300
